method,req,n,n_apps,calls_app1,max_app1,min_app1,mean_app1,std_app1,ovh_per_req,ct_per_req,calls_app2,calls_app3,max_app2,max_app3,min_app2,min_app3,mean_app2,mean_app3,std_app2,std_app3,calls_app4,calls_app5,max_app4,max_app5,min_app4,min_app5,mean_app4,mean_app5,std_app4,std_app5,calls_app6,calls_app7,max_app6,max_app7,min_app6,min_app7,mean_app6,mean_app7,std_app6,std_app7
rn,s,100,1,100,0.060049,0.054033,0.05531657,0.0008555073962859,0.00011148,0.05582168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rn,f,100,3,39,0.127245,0.057173,0.0746306153846153,0.0165568986638467,0.0001366599999999,0.00567563,39.0,22.0,0.082563,0.066859,0.003977,0.004431,0.0216743589743589,0.0199642727272727,0.0158212291841303,0.0154637272649778,,,,,,,,,,,,,,,,,,,,
rn,r,100,3,36,0.057079,0.054402,0.0553501666666666,0.0005818823621088,0.0001549,0.07355422,31.0,33.0,0.00726,0.008342,0.004033,0.003912,0.0049826774193548,0.005062606060606,0.0007897293283592,0.0009746949465094,,,,,,,,,,,,,,,,,,,,
rn,s,100,3,35,0.062267,0.054319,0.0557851714285714,0.0015488075318167,0.00011233,0.02395193,39.0,26.0,0.019005,0.011409,0.00404,0.003819,0.0061897435897435,0.006162423076923,0.0027865465688568,0.0020558836612751,,,,,,,,,,,,,,,,,,,,
rn,f,100,5,18,0.100407,0.056288,0.0699677777777777,0.0119996141074784,0.0001158899999999,0.00435671,30.0,22.0,0.059813,0.052513,0.006559,0.008717,0.0222999999999999,0.0161455909090909,0.0134502143749954,0.0091625161275268,13.0,17.0,0.057927,0.058294,0.007348,0.010434,0.0221703076923076,0.0225684117647058,0.0148627187252307,0.0133133080613471,,,,,,,,,,
rn,r,100,5,20,0.058341,0.054446,0.0553182,0.0007918829837797,0.0001557999999999,0.06353996,11.0,21.0,0.00663,0.005817,0.004115,0.004003,0.0053077272727272,0.004753238095238,0.0007171880811904,0.0004950961334992,30.0,18.0,0.007648,0.008045,0.004032,0.004026,0.0049743666666666,0.0053349444444444,0.0008309826505743,0.0008932708605159,,,,,,,,,,
rn,s,100,5,26,0.061846,0.055024,0.0565145384615384,0.0013500087529849,0.00013111,0.02082959,14.0,16.0,0.01392,0.020021,0.005509,0.004841,0.0086027857142857,0.007817,0.0031209194199002,0.0040301093037286,23.0,21.0,0.018193,0.014159,0.00479,0.0046,0.0074087391304347,0.0072290476190476,0.0031849162464913,0.0024926025694364,,,,,,,,,,
rn,f,100,7,12,0.092474,0.066017,0.07505975,0.0069021873238971,0.00014,0.00375503,20.0,13.0,0.027053,0.041908,0.005679,0.010718,0.0164958,0.021137,0.0058538744315196,0.0080902542700366,12.0,17.0,0.058635,0.048338,0.007453,0.006093,0.0229209166666666,0.0185018235294117,0.0133483984523633,0.0114845190492413,13.0,13.0,0.046324,0.049138,0.006389,0.012468,0.0211041538461538,0.0226546153846153,0.0117673789830266,0.0096448904491003
rn,r,100,7,13,0.057085,0.054785,0.0559450769230769,0.0007082772666057,0.00015853,0.06816365,16.0,16.0,0.00823,0.009796,0.004064,0.004054,0.0054516875,0.0059088749999999,0.001029502350577,0.0013142371777479,16.0,16.0,0.006123,0.007181,0.004111,0.004124,0.005046375,0.00499,0.0005694702445036,0.0008934168260112,10.0,13.0,0.006594,0.00986,0.004038,0.00421,0.0054664,0.005672,0.0008543850654125,0.0017349185305634
rn,s,100,7,18,0.058137,0.05453,0.0557222222222222,0.0009879462173595,0.0001147299999999,0.01524833,11.0,14.0,0.007184,0.01359,0.004026,0.004047,0.0055074545454545,0.0063058571428571,0.0009335510273472,0.0025549382395986,15.0,12.0,0.00729,0.01009,0.003793,0.00397,0.0051716666666666,0.0060589166666666,0.001116292594061,0.0017014018464359,16.0,14.0,0.007882,0.010271,0.003765,0.004486,0.005589125,0.0066699285714285,0.0012100014398235,0.0016475916824385
